px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.87058	-4.90144	-2.55403	-2.50147	0.0915613	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	3.33378
9.98031	-4.80034	-2.56431	-2.48635	0.100693	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.213807
10.0606	-4.68294	-2.52628	-2.43355	0.166172	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.9172
10.1648	-4.5592	-2.55321	-2.4061	0.182638	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.699285
10.2489	-4.43968	-2.53837	-2.36325	0.226425	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.71252
10.3538	-4.2985	-2.58315	-2.33006	0.244775	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	1.07471
10.4735	-4.20455	-2.61091	-2.34259	0.207311	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.43957
10.5705	-4.06466	-2.64303	-2.31176	0.224321	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.865937
10.6681	-3.95042	-2.64887	-2.29522	0.229142	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.111392
10.7648	-3.81919	-2.67155	-2.2724	0.238011	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.279572
